OutThere,z_map,F435W_SEG,F435W_SEG_e,F606W_SEG,F606W_SEG_e,F775W_SEG,F775W_SEG_e,F814W_SEG,F814W_SEG_e,F850LP_SEG,F850LP_SEG_e,F090W_SEG,F090W_SEG_e,F105W_SEG,F105W_SEG_e,F115W_SEG,F115W_SEG_e,F125W_SEG,F125W_SEG_e,F140W_SEG,F140W_SEG_e,F150W_SEG,F150W_SEG_e,F160W_SEG,F160W_SEG_e,F182M_SEG,F182M_SEG_e,F200W_SEG,F200W_SEG_e,F210M_SEG,F210M_SEG_e,F277W_SEG,F277W_SEG_e,F335M_SEG,F335M_SEG_e,F356W_SEG,F356W_SEG_e,F410M_SEG,F410M_SEG_e,F444W_SEG,F444W_SEG_e
1652,2.1347054697541363,4.3023167e-07,1.4520749e-08,4.897648e-07,2.4274293e-08,4.2853875e-07,3.2923285e-08,4.389814e-07,2.2660796e-08,5.664749e-07,3.8189967e-08,5.1782587e-07,1.355609e-08,4.545796e-07,2.6421755e-08,6.5452826e-07,1.1063964e-08,6.4581167e-07,1.724298e-08,7.7461067e-07,3.881208e-08,8.6486165e-07,1.1297714e-08,8.3852154e-07,2.8557388e-08,0.0,,8.729172e-07,9.891797e-09,0.0,,8.4411465e-07,7.217223e-09,8.978926e-07,1.3317797e-08,8.836763e-07,7.4000646e-09,9.3154836e-07,1.6111315e-08,9.2787644e-07,9.199415e-09
2830,2.306550598248208,5.209809e-07,1.7637285e-08,6.801411e-07,3.143629e-08,6.803659e-07,4.5600295e-08,6.874092e-07,2.2565725e-08,7.8751486e-07,4.480544e-08,7.4623506e-07,2.6637215e-08,7.0520275e-07,3.3382637e-08,9.091201e-07,2.3034778e-08,9.050157e-07,2.2115993e-08,1.0273253e-06,4.7258915e-08,1.4343362e-06,2.29611e-08,1.3572022e-06,3.688058e-08,0.0,,1.4492406e-06,2.112562e-08,0.0,,1.3295997e-06,9.567507e-09,1.4161874e-06,2.0835566e-08,1.4686123e-06,9.862301e-09,1.5685878e-06,2.2216645e-08,1.523937e-06,1.14101395e-08
4375,2.275140033129576,3.5017348e-07,1.5719742e-08,4.804326e-07,2.2023753e-08,4.5521313e-07,3.590646e-08,4.404379e-07,1.6428608e-08,5.6370453e-07,4.4521705e-08,4.311887e-07,1.2047784e-08,4.0010042e-07,2.603484e-08,5.4689934e-07,9.196376e-09,5.1198754e-07,1.718413e-08,5.9587603e-07,3.6949654e-08,8.968857e-07,1.0028747e-08,8.187134e-07,2.399933e-08,0.0,,7.5264217e-07,9.563157e-09,0.0,,7.0323364e-07,7.3099735e-09,6.867174e-07,1.0593577e-08,7.141935e-07,7.0639627e-09,7.781129e-07,1.0047996e-08,7.8660844e-07,9.4574e-09
4633,1.995854884297671,7.752034e-07,2.7683651e-08,8.7064086e-07,2.8978585e-08,8.8546795e-07,4.7877577e-08,8.121747e-07,2.4410575e-08,9.50291e-07,6.968827e-08,8.693865e-07,1.423843e-08,9.3777066e-07,6.1781456e-08,1.1712367e-06,1.2695173e-08,1.1223243e-06,3.134581e-08,1.148928e-06,1.0058161e-07,1.4492316e-06,1.412998e-08,1.3825019e-06,3.8749484e-08,1.4298844e-06,3.3457983e-08,1.4683166e-06,1.2665325e-08,1.3670224e-06,4.2885674e-08,1.5020884e-06,1.0635786e-08,1.5052441e-06,1.4883025e-08,1.5927426e-06,1.0707117e-08,1.6419912e-06,1.4694734e-08,1.7496902e-06,1.133161e-08
5053,2.926013119345544,1.3841111e-07,1.8950875e-08,3.1891898e-07,2.3399016e-08,3.9241021e-07,3.34286e-08,3.714311e-07,1.505467e-08,4.906097e-07,3.615993e-08,3.7973143e-07,1.6368904e-08,3.8365457e-07,2.294294e-08,4.5748726e-07,1.5446815e-08,3.9625735e-07,2.2123706e-08,4.2777538e-07,5.1742237e-08,6.3735826e-07,1.5667231e-08,5.594074e-07,2.538892e-08,1.2750949e-06,,8.9306405e-07,1.3842565e-08,0.0,,8.741629e-07,7.883662e-09,6.6459216e-07,1.0754104e-08,7.167348e-07,7.4299504e-09,7.851967e-07,1.0971581e-08,7.80617e-07,6.822656e-09
80,1.7785401919208048,3.4725747e-07,5.3879134e-08,0.0,,9.647785e-07,1.2940309e-07,7.758548e-07,5.9455758e-08,2.702987e-08,,9.66414e-07,3.0566696e-08,0.0,,1.9759748e-06,2.5435117e-08,0.0,,0.0,,3.0246044e-06,2.6099366e-08,0.0,,0.0,,4.378942e-06,2.5548479e-08,0.0,,5.264302e-06,1.7590736e-08,5.7984903e-06,2.6203969e-08,5.9587264e-06,1.6130853e-08,6.150792e-06,2.4565008e-08,6.565437e-06,1.7288743e-08
200,2.3148914774732363,3.7554167e-07,3.8659593e-08,5.7188134e-07,6.2613715e-08,5.99706e-07,6.468617e-08,5.3803103e-07,3.6683065e-08,8.6913525e-07,1.01959934e-07,6.352286e-07,2.0874763e-08,0.0,,8.244004e-07,1.5231475e-08,0.0,,0.0,,1.4496412e-06,1.597634e-08,0.0,,0.0,,1.2363979e-06,1.5249626e-08,0.0,,1.1011739e-06,1.0730817e-08,1.1589368e-06,1.5226135e-08,1.2058631e-06,1.0970535e-08,1.2094332e-06,1.565302e-08,1.1333669e-06,1.4987029e-08
242,2.064754283337881,3.346033e-07,2.5396167e-08,4.904529e-07,3.9045563e-08,4.8469025e-07,4.479394e-08,4.5061898e-07,2.5407225e-08,6.745767e-07,7.339335e-08,5.75283e-07,2.6308946e-08,0.0,,7.8444833e-07,1.9852866e-08,8.2468404e-07,,0.0,,1.1509403e-06,2.1662881e-08,1.2893717e-06,,0.0,,1.1713172e-06,2.0891877e-08,0.0,,1.0883682e-06,8.615565e-09,1.1757239e-06,1.192937e-08,1.1807186e-06,8.598047e-09,1.227149e-06,1.2755074e-08,1.2451957e-06,1.1809804e-08
526,2.273893124754692,9.962408e-07,3.728524e-08,1.3693008e-06,5.5635752e-08,1.3350913e-06,7.050098e-08,1.3452855e-06,2.9250186e-08,1.4703984e-06,1.0191196e-07,1.3859901e-06,2.299989e-08,2.002226e-07,,1.6743318e-06,1.6093562e-08,1.8092139e-06,1.11345e-07,0.0,,2.4590522e-06,1.8105016e-08,2.52359e-06,2.018018e-07,0.0,,2.2229165e-06,1.6492194e-08,0.0,,1.9650417e-06,1.1878908e-08,2.0357443e-06,1.7957472e-08,2.0791786e-06,1.2675316e-08,2.1418643e-06,1.7098065e-08,2.1176284e-06,1.6107936e-08
721,2.1810574349981495,2.96703e-07,3.2983763e-08,4.7133713e-07,6.699787e-08,5.2501116e-07,6.531586e-08,5.408874e-07,3.9861618e-08,6.814656e-07,9.9538035e-08,5.6185394e-07,2.3055454e-08,0.0,,7.6672814e-07,1.6817625e-08,0.0,,0.0,,1.2440881e-06,1.7420804e-08,0.0,,0.0,,1.2772819e-06,1.6928592e-08,0.0,,1.3106047e-06,1.1546816e-08,1.3914589e-06,1.5973361e-08,1.435296e-06,1.132005e-08,1.5211822e-06,1.7586526e-08,1.5510514e-06,1.5854077e-08
